TV_A,TV_B,TV_C,TV_D,TV_E
0.0, 0.43668122270742354, 0.0, 4.366812227074236, 0.0
0.0, 0.43668122270742354, 0.0, 4.366812227074236, 0.0
0.0, 0.43668122270742354, 0.0, 4.366812227074236, 0.0
0.0, 0.43668122270742354, 0.0, 4.366812227074236, 0.0
0.0, 0.43668122270742354, 0.0, 4.366812227074236, 0.0
0.0, 0.43668122270742354, 0.0, 4.8034934497816595, 0.0
0.0, 0.43668122270742354, 0.0, 5.240174672489083, 0.0
0.0, 0.43668122270742354, 0.0, 5.240174672489083, 0.0
0.0, 0.43668122270742354, 0.0, 5.240174672489083, 0.0
0.0, 0.43668122270742354, 0.0, 5.676855895196506, 0.0
0.0, 0.43668122270742354, 0.0, 6.113537117903929, 0.0
0.0, 0.43668122270742354, 0.0, 6.113537117903929, 0.0
0.0, 0.43668122270742354, 0.0, 6.5502183406113526, 0.0
0.0, 0.43668122270742354, 0.0, 6.5502183406113526, 0.0
0.0, 0.43668122270742354, 0.0, 6.5502183406113526, 0.0
0.0, 0.43668122270742354, 0.0, 6.5502183406113526, 0.0
0.0, 0.43668122270742354, 0.0, 6.986899563318776, 0.0
0.0, 0.43668122270742354, 0.0, 6.986899563318776, 0.0
0.0, 0.43668122270742354, 0.0, 6.986899563318776, 0.0
0.0, 0.43668122270742354, 0.0, 7.423580786026199, 0.0
0.0, 0.43668122270742354, 0.0, 7.860262008733622, 0.0
0.0, 0.43668122270742354, 0.0, 7.860262008733622, 0.0
0.0, 0.43668122270742354, 0.0, 8.296943231441047, 0.0
0.0, 0.43668122270742354, 0.0, 8.296943231441047, 0.0
0.0, 0.43668122270742354, 0.0, 8.296943231441047, 0.0
